date,cpng_close,spy_close
2024-04-16,22.51,503.53
2024-04-17,22.63,500.55
2024-04-18,22.3,499.52
2024-04-19,22.01,495.16
2024-04-22,22.46,499.72
2024-04-23,22.72,505.65
2024-04-24,22.8,505.41
2024-04-25,23.03,503.49
2024-04-26,22.91,508.26
2024-04-29,23.1,510.06
2024-04-30,22.5,501.98
2024-05-01,22.21,500.35
2024-05-02,22.5,505.03
2024-05-03,23.0,511.29
2024-05-06,23.34,516.57
2024-05-07,23.65,517.14
2024-05-08,21.46,517.19
2024-05-09,22.01,520.17
2024-05-10,22.5,520.84
2024-05-13,22.22,520.91
2024-05-14,22.25,523.3
2024-05-15,22.52,529.78
2024-05-16,22.87,528.69
2024-05-17,23.0,529.45
2024-05-20,22.96,530.06
2024-05-21,22.96,531.36
2024-05-22,22.41,529.83
2024-05-23,22.36,525.96
2024-05-24,22.35,529.44
2024-05-28,22.81,529.81
2024-05-29,22.84,526.1
2024-05-30,23.23,522.61
2024-05-31,22.74,527.37
2024-06-03,22.53,527.8
2024-06-04,22.02,528.39
2024-06-05,21.79,534.67
2024-06-06,21.89,534.66
2024-06-07,21.84,534.01
2024-06-10,22.18,535.66
2024-06-11,22.12,536.95
2024-06-12,22.69,541.36
2024-06-13,21.7,542.45
2024-06-14,21.4,542.78
2024-06-17,20.54,547.1
2024-06-18,20.39,548.49
2024-06-20,21.02,547.0
2024-06-21,21.34,544.51
2024-06-24,21.06,542.74
2024-06-25,21.22,544.83
2024-06-26,21.28,545.51
2024-06-27,21.09,546.37
2024-06-28,20.95,544.22
2024-07-01,21.08,545.34
2024-07-02,20.9,549.01
2024-07-03,20.91,551.46
2024-07-05,21.67,554.64
2024-07-08,21.41,555.28
2024-07-09,21.34,555.82
2024-07-10,21.37,561.32
2024-07-11,21.62,556.48
2024-07-12,21.82,559.99
2024-07-15,21.18,561.53
2024-07-16,21.31,564.86
2024-07-17,20.82,556.94
2024-07-18,20.21,552.66
2024-07-19,20.19,548.99
2024-07-22,20.61,554.65
2024-07-23,20.6,553.78
2024-07-24,19.92,541.23
2024-07-25,19.79,538.41
2024-07-26,20.18,544.44
2024-07-29,20.3,544.76
2024-07-30,20.33,542.0
2024-07-31,20.75,550.81
2024-08-01,20.62,543.01
2024-08-02,20.28,532.9
2024-08-05,20.35,517.38
2024-08-06,20.67,522.15
2024-08-07,21.21,518.66
2024-08-08,22.78,530.65
2024-08-09,22.59,532.99
2024-08-12,22.73,533.27
2024-08-13,22.58,542.04
2024-08-14,22.15,543.75
2024-08-15,22.4,553.07
2024-08-16,22.45,554.31
2024-08-19,23.59,559.61
2024-08-20,22.79,558.7
2024-08-21,22.84,560.62
2024-08-22,22.99,556.22
2024-08-23,22.87,562.13
2024-08-26,22.78,560.79
2024-08-27,22.6,561.56
2024-08-28,21.91,558.3
2024-08-29,22.03,558.35
2024-08-30,22.15,563.68
2024-09-03,22.0,552.08
2024-09-04,23.54,550.95
2024-09-05,23.33,549.61
2024-09-06,22.0,540.36
2024-09-09,22.41,546.41
2024-09-10,23.0,548.79
2024-09-11,23.42,554.42
2024-09-12,23.7,559.09
2024-09-13,23.95,562.01
2024-09-16,23.95,562.84
2024-09-17,24.24,563.07
2024-09-18,24.18,561.4
2024-09-19,24.2,570.98
2024-09-20,24.58,568.25
2024-09-23,24.78,569.67
2024-09-24,24.94,571.3
2024-09-25,24.89,570.04
2024-09-26,24.92,572.3
2024-09-27,24.81,571.47
2024-09-30,24.55,573.76
2024-10-01,24.43,568.62
2024-10-02,24.19,568.86
2024-10-03,24.14,567.82
2024-10-04,24.59,572.98
2024-10-07,25.8,567.8
2024-10-08,25.7,573.17
2024-10-09,25.64,577.14
2024-10-10,25.53,576.13
2024-10-11,25.7,579.58
2024-10-14,25.64,584.32
2024-10-15,25.18,579.78
2024-10-16,25.38,582.3
2024-10-17,25.31,582.35
2024-10-18,25.13,584.59
2024-10-21,25.05,583.63
2024-10-22,24.98,583.32
2024-10-23,25.39,577.99
2024-10-24,25.61,579.24
2024-10-25,25.67,579.04
2024-10-28,25.95,580.83
2024-10-29,26.0,581.77
2024-10-30,26.24,580.01
2024-10-31,25.79,568.64
2024-11-01,25.4,571.04
2024-11-04,25.7,569.81
2024-11-05,26.89,576.7
2024-11-06,24.0,591.04
2024-11-07,25.11,595.61
2024-11-08,24.17,598.19
2024-11-11,24.1,598.76
2024-11-12,24.51,596.9
2024-11-13,25.9,597.19
2024-11-14,25.33,593.35
2024-11-15,24.48,585.75
2024-11-18,24.36,588.15
2024-11-19,24.19,590.3
2024-11-20,23.97,590.5
2024-11-21,24.0,593.67
2024-11-22,24.32,595.51
2024-11-25,25.0,597.53
2024-11-26,25.21,600.65
2024-11-27,25.47,598.83
2024-11-29,25.36,602.55
2024-12-02,24.85,603.63
2024-12-03,23.92,603.91
2024-12-04,23.87,607.66
2024-12-05,24.03,606.66
2024-12-06,23.9,607.81
2024-12-09,23.43,604.68
2024-12-10,23.72,602.8
2024-12-11,23.89,607.46
2024-12-12,24.32,604.33
2024-12-13,23.89,604.21
2024-12-16,23.6,606.79
2024-12-17,23.52,604.29
2024-12-18,22.56,586.28
2024-12-19,22.73,586.1
2024-12-20,22.94,591.15
2024-12-23,22.8,594.69
2024-12-24,22.86,601.3
2024-12-26,22.82,601.34
2024-12-27,22.52,595.01
2024-12-30,22.22,588.22
2024-12-31,21.98,586.08
